Date,Term,Contexts,Programs,Total Matches
2015-09-16,Ben Carson,23,27,43
2015-09-16,Carly Fiorina,17,19,24
2015-09-16,Chris Christie,5,8,11
2015-09-16,Donald Trump,45,46,162
2015-09-16,Jeb Bush,17,19,27
2015-09-16,John Kasich,1,1,1
2015-09-16,Marco Rubio,5,5,5
2015-09-16,Rand Paul,5,5,7
2015-09-16,Ted Cruz,0,0,0
2015-09-17,Ben Carson,17,21,34
2015-09-17,Carly Fiorina,30,32,112
2015-09-17,Chris Christie,20,24,41
2015-09-17,Donald Trump,50,50,231
2015-09-17,Jeb Bush,23,27,56
2015-09-17,John Kasich,1,1,5
2015-09-17,Marco Rubio,7,7,10
2015-09-17,Rand Paul,11,13,25
2015-09-17,Ted Cruz,2,2,3
2015-09-18,Ben Carson,6,6,13
2015-09-18,Carly Fiorina,13,13,27
2015-09-18,Chris Christie,9,10,13
2015-09-18,Donald Trump,41,42,135
2015-09-18,Jeb Bush,9,9,19
2015-09-18,John Kasich,1,1,1
2015-09-18,Marco Rubio,2,2,2
2015-09-18,Rand Paul,8,8,12
2015-09-18,Ted Cruz,1,1,1
2015-09-19,Ben Carson,1,1,1
2015-09-19,Carly Fiorina,3,3,4
2015-09-19,Chris Christie,2,5,8
2015-09-19,Donald Trump,12,13,36
2015-09-19,Jeb Bush,3,3,3
2015-09-19,John Kasich,1,3,3
2015-09-19,Marco Rubio,0,0,0
2015-09-19,Rand Paul,1,1,1
2015-09-19,Ted Cruz,2,2,3
2015-09-20,Ben Carson,8,9,22
2015-09-20,Carly Fiorina,8,8,25
2015-09-20,Chris Christie,2,2,2
2015-09-20,Donald Trump,30,31,113
2015-09-20,Jeb Bush,5,5,9
2015-09-20,John Kasich,4,4,5
2015-09-20,Marco Rubio,6,7,17
2015-09-20,Rand Paul,2,2,5
2015-09-20,Ted Cruz,5,5,5
2015-09-21,Ben Carson,27,29,61
2015-09-21,Carly Fiorina,17,18,44
2015-09-21,Chris Christie,4,4,4
2015-09-21,Donald Trump,39,40,117
2015-09-21,Jeb Bush,1,1,2
2015-09-21,John Kasich,1,1,2
2015-09-21,Marco Rubio,5,5,6
2015-09-21,Rand Paul,1,1,1
2015-09-21,Ted Cruz,4,4,4
2015-09-22,Ben Carson,16,19,32
2015-09-22,Carly Fiorina,16,18,30
2015-09-22,Chris Christie,2,3,3
2015-09-22,Donald Trump,29,34,82
2015-09-22,Jeb Bush,6,7,8
2015-09-22,John Kasich,0,0,0
2015-09-22,Marco Rubio,2,3,3
2015-09-22,Rand Paul,0,0,0
2015-09-22,Ted Cruz,11,12,17
2015-09-23,Ben Carson,8,9,17
2015-09-23,Carly Fiorina,4,6,9
2015-09-23,Chris Christie,7,7,15
2015-09-23,Donald Trump,23,27,81
2015-09-23,Jeb Bush,1,2,2
2015-09-23,John Kasich,2,2,9
2015-09-23,Marco Rubio,0,0,0
2015-09-23,Rand Paul,1,1,1
2015-09-23,Ted Cruz,1,1,1
2015-09-24,Ben Carson,10,10,13
2015-09-24,Carly Fiorina,11,11,15
2015-09-24,Chris Christie,10,11,19
2015-09-24,Donald Trump,23,23,71
2015-09-24,Jeb Bush,6,6,7
2015-09-24,John Kasich,0,0,0
2015-09-24,Marco Rubio,7,7,10
2015-09-24,Rand Paul,1,1,1
2015-09-24,Ted Cruz,0,0,0
2015-09-25,Ben Carson,5,6,9
2015-09-25,Carly Fiorina,11,12,16
2015-09-25,Chris Christie,1,1,1
2015-09-25,Donald Trump,24,24,52
2015-09-25,Jeb Bush,3,3,7
2015-09-25,John Kasich,0,0,0
2015-09-25,Marco Rubio,14,14,28
2015-09-25,Rand Paul,0,0,0
2015-09-25,Ted Cruz,2,2,2
2015-09-26,Ben Carson,0,0,0
2015-09-26,Carly Fiorina,0,0,0
2015-09-26,Chris Christie,0,0,0
2015-09-26,Donald Trump,2,2,7
2015-09-26,Jeb Bush,0,0,0
2015-09-26,John Kasich,0,0,0
2015-09-26,Marco Rubio,1,1,1
2015-09-26,Rand Paul,0,0,0
2015-09-26,Ted Cruz,1,1,1
2015-09-27,Ben Carson,0,0,0
2015-09-27,Carly Fiorina,0,0,0
2015-09-27,Chris Christie,0,0,0
2015-09-27,Donald Trump,7,7,19
2015-09-27,Jeb Bush,0,0,0
2015-09-27,John Kasich,0,0,0
2015-09-27,Marco Rubio,1,1,1
2015-09-27,Rand Paul,0,0,0
2015-09-27,Ted Cruz,0,0,0
2015-09-28,Ben Carson,10,11,19
2015-09-28,Carly Fiorina,16,23,57
2015-09-28,Chris Christie,5,6,6
2015-09-28,Donald Trump,27,31,89
2015-09-28,Jeb Bush,7,7,11
2015-09-28,John Kasich,1,1,1
2015-09-28,Marco Rubio,12,15,20
2015-09-28,Rand Paul,1,1,1
2015-09-28,Ted Cruz,2,2,3
2015-09-29,Ben Carson,7,9,11
2015-09-29,Carly Fiorina,8,9,14
2015-09-29,Chris Christie,7,9,9
2015-09-29,Donald Trump,24,26,58
2015-09-29,Jeb Bush,5,6,6
2015-09-29,John Kasich,0,0,0
2015-09-29,Marco Rubio,5,6,9
2015-09-29,Rand Paul,0,0,0
2015-09-29,Ted Cruz,4,4,5
2015-09-30,Ben Carson,6,7,10
2015-09-30,Carly Fiorina,4,5,5
2015-09-30,Chris Christie,2,2,3
2015-09-30,Donald Trump,18,18,57
2015-09-30,Jeb Bush,3,3,4
2015-09-30,John Kasich,0,0,0
2015-09-30,Marco Rubio,5,5,7
2015-09-30,Rand Paul,1,1,1
2015-09-30,Ted Cruz,1,1,2
2015-10-01,Ben Carson,6,6,7
2015-10-01,Carly Fiorina,3,3,3
2015-10-01,Chris Christie,17,21,35
2015-10-01,Donald Trump,20,21,64
2015-10-01,Jeb Bush,10,11,23
2015-10-01,John Kasich,0,0,0
2015-10-01,Marco Rubio,8,8,12
2015-10-01,Rand Paul,2,2,2
2015-10-01,Ted Cruz,1,1,1
2015-10-02,Ben Carson,4,4,9
2015-10-02,Carly Fiorina,3,3,5
2015-10-02,Chris Christie,11,22,39
2015-10-02,Donald Trump,19,20,46
2015-10-02,Jeb Bush,7,10,18
2015-10-02,John Kasich,0,0,0
2015-10-02,Marco Rubio,4,4,6
