Date,Term,Contexts,Programs,Total Matches
2014-11-16,Ben Carson,0,0,0
2014-11-16,Carly Fiorina,1,1,1
2014-11-16,Chris Christie,1,1,1
2014-11-16,Donald Trump,0,0,0
2014-11-16,Jeb Bush,2,2,2
2014-11-16,John Kasich,1,1,1
2014-11-16,Marco Rubio,0,0,0
2014-11-16,Rand Paul,0,0,0
2014-11-16,Ted Cruz,2,2,2
2014-11-17,Ben Carson,0,0,0
2014-11-17,Carly Fiorina,0,0,0
2014-11-17,Chris Christie,2,3,8
2014-11-17,Donald Trump,2,2,2
2014-11-17,Jeb Bush,0,0,0
2014-11-17,John Kasich,1,1,1
2014-11-17,Marco Rubio,0,0,0
2014-11-17,Rand Paul,0,0,0
2014-11-17,Ted Cruz,1,1,1
2014-11-18,Ben Carson,0,0,0
2014-11-18,Carly Fiorina,0,0,0
2014-11-18,Chris Christie,1,3,3
2014-11-18,Donald Trump,1,2,2
2014-11-18,Jeb Bush,0,0,0
2014-11-18,John Kasich,0,0,0
2014-11-18,Marco Rubio,0,0,0
2014-11-18,Rand Paul,0,0,0
2014-11-18,Ted Cruz,0,0,0
2014-11-19,Ben Carson,0,0,0
2014-11-19,Carly Fiorina,0,0,0
2014-11-19,Chris Christie,3,3,5
2014-11-19,Donald Trump,2,2,3
2014-11-19,Jeb Bush,0,0,0
2014-11-19,John Kasich,0,0,0
2014-11-19,Marco Rubio,0,0,0
2014-11-19,Rand Paul,1,1,1
2014-11-19,Ted Cruz,0,0,0
2014-11-20,Ben Carson,0,0,0
2014-11-20,Carly Fiorina,0,0,0
2014-11-20,Chris Christie,4,7,8
2014-11-20,Donald Trump,0,0,0
2014-11-20,Jeb Bush,0,0,0
2014-11-20,John Kasich,0,0,0
2014-11-20,Marco Rubio,0,0,0
2014-11-20,Rand Paul,1,1,1
2014-11-20,Ted Cruz,2,2,3
2014-11-21,Ben Carson,0,0,0
2014-11-21,Carly Fiorina,0,0,0
2014-11-21,Chris Christie,1,5,5
2014-11-21,Donald Trump,3,4,4
2014-11-21,Jeb Bush,0,0,0
2014-11-21,John Kasich,0,0,0
2014-11-21,Marco Rubio,0,0,0
2014-11-21,Rand Paul,0,0,0
2014-11-21,Ted Cruz,2,3,3
2014-11-22,Ben Carson,0,0,0
2014-11-22,Carly Fiorina,0,0,0
2014-11-22,Chris Christie,2,3,5
2014-11-22,Donald Trump,0,0,0
2014-11-22,Jeb Bush,0,0,0
2014-11-22,John Kasich,0,0,0
2014-11-22,Marco Rubio,0,0,0
2014-11-22,Rand Paul,0,0,0
2014-11-22,Ted Cruz,0,0,0
2014-11-23,Ben Carson,1,1,2
2014-11-23,Carly Fiorina,0,0,0
2014-11-23,Chris Christie,2,4,4
2014-11-23,Donald Trump,0,0,0
2014-11-23,Jeb Bush,1,1,4
2014-11-23,John Kasich,0,0,0
2014-11-23,Marco Rubio,0,0,0
2014-11-23,Rand Paul,1,1,2
2014-11-23,Ted Cruz,2,2,6
2014-11-24,Ben Carson,0,0,0
2014-11-24,Carly Fiorina,0,0,0
2014-11-24,Chris Christie,0,0,0
2014-11-24,Donald Trump,2,7,8
2014-11-24,Jeb Bush,0,0,0
2014-11-24,John Kasich,0,0,0
2014-11-24,Marco Rubio,0,0,0
2014-11-24,Rand Paul,0,0,0
2014-11-24,Ted Cruz,0,0,0
2014-11-25,Ben Carson,0,0,0
2014-11-25,Carly Fiorina,0,0,0
2014-11-25,Chris Christie,1,1,1
2014-11-25,Donald Trump,3,3,3
2014-11-25,Jeb Bush,0,0,0
2014-11-25,John Kasich,0,0,0
2014-11-25,Marco Rubio,0,0,0
2014-11-25,Rand Paul,0,0,0
2014-11-25,Ted Cruz,0,0,0
2014-11-26,Ben Carson,0,0,0
2014-11-26,Carly Fiorina,1,1,1
2014-11-26,Chris Christie,2,5,5
2014-11-26,Donald Trump,0,0,0
2014-11-26,Jeb Bush,0,0,0
2014-11-26,John Kasich,0,0,0
2014-11-26,Marco Rubio,0,0,0
2014-11-26,Rand Paul,0,0,0
