Afghanistan,{afghanistan},AFG
Tajikistan,{tajikistan},TAJ
Tanzania,{tanzania},TAN
Thailand,{thailiand},THA
Timor,{timor},TIM
Togo,{togo},TOG
Tonga,{tonga},TON
Trinidad and Tobago,{trinidad} + {tobago},TTB
Tunisia,{tunisia},TUN
Turkey,{turkey} !& ( {breast} + {melt} + {thanksgiving} + {dinner} + {cooking} +{burger} + {roast} + {sandwich} + {a turkey} + {the turkey} + {talk turkey} + {cold turkey}),TKY
Turkmenistan,{turkmenistan},TKM
Uganda,{uganda},UGA
Ukraine,{ukraine},UKR
United Arab Emirates (UAE),{united arab emirates},UAE
United Kingdom (UK),({united kingdom} + {scotland} + {wales} + ({england} !@ {new england})),UKG
United States (US),{united states} + {united states of america} + {usa},USA
Uruguay,{uruguay},URU
Uzbekistan,{uzbekistan},UZB
Vanuatu,{vanuatu},VAN
Venezuela,{venezuela},VEN
Vietnam,{vietnam},VIE
West Bank,{west bank},WBK
Western Sahara,{western sahara},WSA
Yemen,{yemen},YEM
Zambia,{zambia},ZAM
Zimbabwe,{zimbabwe},ZIM
